Тираж,Дата,Число 1,Число 2,Число 3,Число 4,Число 5,Число 6,Сума,Четни,Нечетни,Ниски 1-24,Високи 25-49,Повт. от предходен
00,2026-01-04,22,24,26,32,33,43,180,4,2,2,4,0
01,2026-01-08,3,20,27,38,46,47,181,3,3,2,4,0
02,2026-01-11,9,10,18,20,28,48,133,5,1,4,2,1
03,2026-01-15,10,13,24,28,32,36,143,5,1,3,3,2
04,2026-01-18,11,24,28,36,37,46,182,4,2,2,4,3
05,2026-01-22,2,11,12,18,19,42,104,4,2,5,1,1
06,2026-01-25,4,17,20,31,33,44,149,3,3,3,3,0
07,2026-01-29,17,18,22,37,41,46,181,3,3,3,3,1
08,2026-02-01,3,4,41,43,44,47,182,2,4,2,4,1
09,2026-02-05,6,12,13,15,23,36,105,3,3,5,1,0
10,2026-02-08,12,20,26,30,41,49,178,4,2,2,4,1
11,2026-02-12,16,18,23,36,39,44,176,4,2,3,3,0
12,2026-02-15,11,16,18,34,36,49,164,4,2,3,3,3
13,2026-02-19,22,25,37,44,45,48,221,3,3,1,5,0
14,2026-02-22,9,31,33,37,38,48,196,2,4,1,5,2
15,2026-02-26,10,14,21,24,36,37,142,4,2,4,2,1
16,2026-03-01,5,18,19,24,37,48,151,3,3,4,2,2
17,2026-03-05,5,15,17,36,37,49,159,1,5,3,3,2
18,2026-03-08,3,4,13,22,33,48,123,3,3,4,2,0
19,2026-03-12,1,4,24,30,34,37,130,4,2,3,3,1
20,2026-03-15,1,3,12,40,44,49,149,3,3,3,3,1
21,2026-03-19,23,24,33,38,42,48,208,4,2,2,4,0
22,2026-03-22,12,22,28,30,33,49,174,4,2,2,4,1
23,2026-03-26,3,12,16,23,35,40,129,3,3,4,2,1
24,2026-03-29,20,25,27,29,30,46,177,3,3,1,5,0
25,2026-04-02,13,18,23,38,40,49,181,3,3,3,3,0
26,2026-04-05,1,6,7,12,13,19,58,2,4,6,0,1
27,2026-04-09,1,6,21,22,39,45,134,2,4,4,2,2
28,2026-04-12,2,4,8,14,28,43,99,5,1,4,2,0
29,2026-04-16,11,18,21,38,48,49,185,3,3,3,3,0
30,2026-04-19,9,19,37,40,41,47,193,1,5,2,4,0
31,2026-04-23,2,7,11,16,23,30,89,3,3,5,1,0
32,2026-04-26,8,11,26,30,36,38,149,5,1,2,4,2
33,2026-04-30,2,8,18,20,26,42,116,6,0,4,2,2
34,2026-05-03,13,14,23,27,36,42,155,3,3,3,3,1
35,2026-05-07,3,8,13,20,42,49,135,3,3,4,2,2
36,2026-05-10,2,23,24,27,37,38,151,3,3,3,3,0
37,2026-05-14,5,7,13,31,38,42,136,2,4,3,3,1
38,2026-05-17,1,5,7,32,46,49,140,2,4,3,3,2
39,2026-05-21,3,17,33,36,39,45,173,1,5,2,4,0
40,2026-05-24,8,9,38,43,45,46,189,3,3,2,4,1
41,2026-05-28,2,6,15,19,26,35,103,3,3,4,2,0
42,2026-05-31,9,17,29,39,42,49,185,1,5,2,4,0
43,2026-06-04,13,17,28,35,37,49,179,1,5,2,4,2
44,2026-06-07,1,9,26,30,39,43,148,2,4,2,4,0
45,2026-06-11,1,10,11,15,16,37,90,2,4,5,1,1
46,2026-06-14,1,7,8,14,29,42,101,3,3,4,2,1
47,2026-06-18,22,26,28,29,40,42,187,5,1,1,5,2
