step,report,exists,status
v95,reports\v95_active_plan_auto_evaluation_summary.json,True,EVALUATED
v97,reports\v97_real_draw_lifecycle_summary.json,True,READY
v98,reports\v98_active_plan_result_history_summary.json,True,HAS_HISTORY
v99,reports\v99_final_user_dashboard_summary.json,True,READY_WAITING_NEXT_DRAW
v100,reports\v100_final_release_lock_summary.json,True,V1_LOCKED_WAITING_NEXT_DRAW
v101,reports\v101_real_use_protocol_summary.json,True,WAITING_NEXT_REAL_DRAW
v102,reports\v102_runtime_hardening_summary.json,True,RUNTIME_HARDENED
v103,reports\v103_clean_release_checkpoint_summary.json,True,WAITING_FOR_CLEAN_GIT_STATUS
v106,reports\v106_post_draw_status_sync_summary.json,True,POST_DRAW_SYNCED
v106_2,reports\v106_2_post_draw_historical_schema_sync_summary.json,True,POST_DRAW_DATASETS_SYNCED
v106_1,reports\v106_1_post_draw_dataset_sync_summary.json,True,POST_DRAW_DATASETS_SYNCED
