package_id,package_label,source_group,source_kind,source_path,preferred_key,total_combinations,unique_covered_numbers,empty_risk_percent,at_least_one_hit_percent
models_v88_v88_anti_zero_coverage_model_json_candidate,Защитен фиш с широко покритие,Защитни пакети,trusted_ticket_source,models/v88/v88_anti_zero_coverage_model.json,candidate,4,24,1.266464,98.733536
reports_v59_smart_ticket_builder_2_sample_csv,Интелигентен генератор 2,Генератори,trusted_ticket_source,reports/v59_smart_ticket_builder_2_sample.csv,,5,23,1.646403,98.353597
reports_v60_ticket_builder_2_export_sample_csv,Експорт от интелигентния генератор,Генератори,trusted_ticket_source,reports/v60_ticket_builder_2_export_sample.csv,,5,23,1.646403,98.353597
models_v44_1_v44_1_final_ensemble_ticket_prediction_json,Финален ансамблов фиш,Финални фишове,trusted_ticket_source,models/v44_1/v44_1_final_ensemble_ticket_prediction.json,,4,22,2.116804,97.883196
reports_v69_candidate_portfolio_tickets_csv,Подобрен кандидат портфейл,Портфейли,trusted_ticket_source,reports/v69_candidate_portfolio_tickets.csv,,8,21,2.694114,97.305886
reports_v75_neural_candidate_tickets_csv,Невронни кандидат комбинации,Невронни сигнали,trusted_ticket_source,reports/v75_neural_candidate_tickets.csv,,8,21,2.694114,97.305886
reports_v78_selected_ticket_plan_csv,Финален план за игра,Финални фишове,trusted_ticket_source,reports/v78_selected_ticket_plan.csv,,8,21,2.694114,97.305886
reports_v84_model_source_candidates_csv,Снапшот на моделни кандидати,Моделни снапшоти,trusted_ticket_source,reports/v84_model_source_candidates.csv,,8,21,2.694114,97.305886
reports_v67_weighted_ticket_builder_tickets_csv,Генератор с претеглени сигнали,Претеглени модели,trusted_ticket_source,reports/v67_weighted_ticket_builder_tickets.csv,,8,18,5.265237,94.734763
reports_v68_weighted_portfolio_tickets_csv,Оптимизиран портфейл с претеглени сигнали,Претеглени модели,trusted_ticket_source,reports/v68_weighted_portfolio_tickets.csv,,8,18,5.265237,94.734763
models_v45_v45_final_prediction_tickets_json,Финални прогнозни комбинации,Финални фишове,trusted_ticket_source,models/v45/v45_final_prediction_tickets.json,,4,14,11.607418,88.392582
